timeframe,candidate_count,candidate_count_score,positive_label_ratio_proxy,temporal_diversity,regime_diversity,class_balance_proxy,oos_balance_proxy,ml_readiness_score,strategy_name,exit_model,parameter_set_id
M15,8125,1.0,0.5273846153846153,1.0,0.0,0.9307076923076922,0.20835812016656752,0.626336794948062,trend_pullback,fixed_tp,90c7801661a3
M15,2102,1.0,0.7155090390104663,1.0,0.0,0.9562321598477641,0.25642558278541544,0.6750004691970701,trend_pullback,fixed_tp,4f81c444d2b5
M15,7546,1.0,0.5983302411873841,1.0,0.0,0.9387755102040816,0.20543130990415334,0.641297071253712,trend_pullback,fixed_tp,4eaf4745611d
M15,15398,1.0,0.5407195739706455,1.0,0.0,0.9567476295622808,0.2430774198756761,0.6381176722098226,trend_pullback,fixed_tp,5ff3904d8278
M15,6466,1.0,0.5160841323847819,1.0,0.0,0.9217445097432726,0.21839080459770116,0.6242371236281025,trend_pullback,fixed_tp,8d01bac0b801
M15,6827,1.0,0.5248278892632195,1.0,0.0,0.9225135491431082,0.2154174826419797,0.6256552326204071,trend_pullback,fixed_tp,7d1673db3eb3
M15,10825,1.0,0.5175981524249422,1.0,0.0,0.9296997690531177,0.2167022591884905,0.6254799347212296,trend_pullback,fixed_tp,3f60bd8b5512
M15,8644,1.0,0.5765849143914854,1.0,0.0,0.9484035168903286,0.20793739519284515,0.6387681196907732,trend_pullback,fixed_tp,c3f5e247aa65
M15,8887,1.0,0.5787104759761449,1.0,0.0,0.9476763812310116,0.20812941816204458,0.6391129651041875,trend_pullback,fixed_tp,61cb617ed54e
M15,9921,1.0,0.5365386553774821,1.0,0.0,0.9357927628263281,0.21179919384389886,0.6294465245760305,trend_pullback,fixed_tp,876c2da67c29
M15,10356,1.0,0.5139049826187717,1.0,0.0,0.9287369640787948,0.21692126909518214,0.6246297314998509,trend_pullback,fixed_tp,8a59122ed884
M15,18678,1.0,0.4637006103437199,1.0,0.0,0.9633793768069387,0.25162500837633184,0.6249907798462346,trend_pullback,fixed_tp,dde215500ab7
